#LIST OF PROGRAMS
,xorg-server,"is the graphical server."
,xorg-xinit,"xinit."
A,wlsunset,"wayland redshift replacement."
,foot,"terminal."
,mako,"sway notifier"
,sway,"wayland i3 like wm."
,dosfstools,"access dos filesystems."
,libnotify,"allows desktop notifications."
,exfat-utils,"FAT drives management."
,swayidle,"wayland idle manager."
,swaybg,"sets the wallpaper."
,ffmpeg,"powerful audio video cli tool."
,gnome-keyring,"serves as the system keyring."
,terminus-font,"best cli font ever."
,neovim,"a tidier vim with some useful features"
,mpd,"lightweight music daemon."
,mpc,"terminal interface for mpd."
,mpv,"video player."
,ncmpcpp,"a ncurses interface for music."
,newsboat,"is a terminal RSS client."
A,wf-recorder,"screen video recording."
,ttf-font-awesome,"icons font for swaybar and rofi."
,wofi,"rofi for wayland."
,portmidi,"midi protocol."
,jack2,"pro audio system."
,pulseaudio-jack,"pulse with jack."
,qjackctl,"jack frontend."
,pulseaudio-alsa,"audio system."
,pulsemixer,"audio controller."
,pamixer,"cli audio interface."
,firefox,"the standard linux web browser."
,xorg-xwayland,"wayland X apps compatibility."
,qt5-wayland,"Qt-5 support for wayland."
,qt6-wayland,"Qt-6 support for wayland."
,glfw-wayland,"glfw wayland backend."
,slurp,"wayland region selector"
,jq,"wayland sel helper tool."
,unrar,"extracts rar's."
,unzip,"extracts zips."
,lynx,"terminal browser."
A,clipman-git,"clipboard manager."
,realtime-privileges,"realtime for audio, jack etc."
,imv,"image viewer."
,youtube-dl,"YouTube video dl."
,zathura,"minimal pdf viewer."
,zathura-pdf-mupdf,"pdf in zathura."
,poppler,"manipulates .pdfs."
,mediainfo,"a/v  information."
,atool,"archive managment and info."
,fzf,"is a fuzzy finder tool."
,highlight,"codehighlighting ."
A,swayshot,"wayland screenshot."
,zsh-syntax-highlighting,"cli syntax highlighting."
,zsh-autosuggestions,"cli history suggestions."
A,autotiling,"dynamic tiling."
,fff,"terminal file manager."
,bottom,"system monitor."
A,wl-roots-git,"Wayland libs."
,waylock,"wm locker."
